Prefecture,Sub-Pref,Municipality-Large,Municipality-Small,num_ref,num_points
北海道,宗谷総合振興局,天塩郡,幌延町,01520,1
北海道,十勝総合振興局,広尾郡,大樹町,01641,1
北海道,釧路総合振興局,釧路郡,釧路町,01661,1
北海道,根室振興局,国後郡,留夜別村,01697,1
北海道,根室振興局,紗那郡,紗那村,01699,1
青森県,,,五所川原市,02205,1
宮城県,,,大崎市,04215,1
山形県,,東村山郡,中山町,06302,1
福島県,,大沼郡,会津美里町,07447,1
福島県,,東白川郡,塙町,07483,1
茨城県,,東茨城郡,城里町,08310,1
栃木県,,芳賀郡,益子町,09342,1
群馬県,,,みどり市,10212,1
埼玉県,,さいたま市,桜区,11106,1
埼玉県,,,深谷市,11218,1
埼玉県,,児玉郡,美里町,11381,1
埼玉県,,大里郡,寄居町,11408,1
千葉県,,,流山市,12220,1
千葉県,,印旛郡,栄町,12329,1
東京都,,,葛飾区,13122,1
東京都,,,東久留米市,13222,1
東京都,,,多摩市,13224,1
神奈川県,,横浜市,磯子区,14107,1
新潟県,,新潟市,北区,15101,1
新潟県,,新潟市,秋葉区,15105,1
新潟県,,東蒲原郡,阿賀町,15385,1
富山県,,,氷見市,16205,1
富山県,,,黒部市,16207,1
富山県,,,砺波市,16208,1
富山県,,中新川郡,上市町,16322,1
石川県,,,能美市,17211,1
福井県,,,越前市,18209,1
長野県,,,岡谷市,20204,1
長野県,,,諏訪市,20206,1
長野県,,,大町市,20212,1
長野県,,南佐久郡,佐久穂町,20309,1
長野県,,諏訪郡,下諏訪町,20361,1
長野県,,北安曇郡,松川村,20482,1
岐阜県,,,中津川市,21206,1
岐阜県,,,郡上市,21219,1
静岡県,,,藤枝市,22214,1
静岡県,,,裾野市,22220,1
静岡県,,榛原郡,川根本町,22429,1
愛知県,,,犬山市,23215,1
愛知県,,,東海市,23222,1
愛知県,,,知立市,23225,1
三重県,,三重郡,菰野町,24341,1
滋賀県,,,近江八幡市,25204,1
京都府,,綴喜郡,井手町,26343,1
京都府,,綴喜郡,宇治田原町,26344,1
大阪府,,堺市,西区,27144,1
大阪府,,堺市,美原区,27147,1
兵庫県,,,相生市,28208,1
奈良県,,宇陀郡,御杖村,29386,1
和歌山県,,,紀の川市,30208,1
岡山県,,岡山市,南区,33104,1
岡山県,,,玉野市,33204,1
岡山県,,都窪郡,早島町,33423,1
広島県,,,府中市,34208,1
山口県,,,防府市,35206,1
山口県,,熊毛郡,田布施町,35343,1
山口県,,熊毛郡,平生町,35344,1
高知県,,土佐郡,土佐町,39363,1
福岡県,,,小郡市,40216,1
福岡県,,,朝倉市,40228,1
福岡県,,,糸島市,40230,1
福岡県,,遠賀郡,岡垣町,40383,1
福岡県,,三潴郡,大木町,40522,1
佐賀県,,三養基郡,基山町,41341,1
長崎県,,,諫早市,42204,1
長崎県,,,平戸市,42207,1
長崎県,,,松浦市,42208,1
熊本県,,菊池郡,菊陽町,43404,1
熊本県,,阿蘇郡,南小国町,43423,1
熊本県,,阿蘇郡,南阿蘇村,43433,1
熊本県,,上益城郡,嘉島町,43442,1
大分県,,,由布市,44213,1
宮崎県,,,西都市,45208,1
宮崎県,,児湯郡,川南町,45405,1
鹿児島県,,,霧島市,46218,1
北海道,石狩振興局,札幌市,東区,01103,2
北海道,十勝総合振興局,河東郡,上士幌町,01633,2
北海道,根室振興局,択捉郡,留別村,01698,2
青森県,,下北郡,大間町,02423,2
青森県,,下北郡,佐井村,02426,2
青森県,,三戸郡,新郷村,02450,2
宮城県,,黒川郡,大和町,04421,2
山形県,,西村山郡,朝日町,06323,2
山形県,,西村山郡,大江町,06324,2
群馬県,,,桐生市,10203,2
群馬県,,吾妻郡,草津町,10426,2
群馬県,,吾妻郡,高山村,10428,2
埼玉県,,秩父郡,横瀬町,11361,2
千葉県,,,柏市,12217,2
東京都,,西多摩郡,日の出町,13305,2
東京都,,三宅支庁,御蔵島村,13382,2
神奈川県,,横浜市,神奈川区,14102,2
新潟県,,,妙高市,15217,2
新潟県,,,魚沼市,15225,2
新潟県,,岩船郡,粟島浦村,15586,2
山梨県,,南都留郡,西桂町,19423,2
山梨県,,南都留郡,忍野村,19424,2
山梨県,,南都留郡,山中湖村,19425,2
長野県,,北佐久郡,立科町,20324,2
長野県,,北安曇郡,白馬村,20485,2
岐阜県,,,本巣市,21218,2
愛知県,,西春日井郡,豊山町,23342,2
滋賀県,,,米原市,25214,2
京都府,,相楽郡,笠置町,26364,2
兵庫県,,,西脇市,28213,2
和歌山県,,東牟婁郡,太地町,30422,2
岡山県,,岡山市,中区,33102,2
広島県,,安芸郡,府中町,34302,2
山口県,,,光市,35210,2
山口県,,熊毛郡,上関町,35341,2
徳島県,,名東郡,佐那河内村,36321,2
高知県,,安芸郡,馬路村,39306,2
福岡県,,,中間市,40215,2
福岡県,,,筑紫野市,40217,2
福岡県,,,大野城市,40219,2
福岡県,,糟屋郡,宇美町,40341,2
福岡県,,遠賀郡,水巻町,40382,2
福岡県,,遠賀郡,遠賀町,40384,2
福岡県,,田川郡,大任町,40608,2
熊本県,,上益城郡,益城町,43443,2
大分県,,,津久見市,44207,2
鹿児島県,,姶良郡,湧水町,46452,2
北海道,石狩振興局,札幌市,豊平区,01105,3
北海道,上川総合振興局,中川郡,音威子府村,01470,3
青森県,,下北郡,風間浦村,02425,3
山形県,,,酒田市,06204,3
福島県,,,須賀川市,07207,3
福島県,,岩瀬郡,天栄村,07344,3
福島県,,南会津郡,南会津町,07368,3
茨城県,,,石岡市,08205,3
茨城県,,,取手市,08217,3
群馬県,,邑楽郡,大泉町,10524,3
千葉県,,香取郡,多古町,12347,3
東京都,,,府中市,13206,3
神奈川県,,,伊勢原市,14214,3
新潟県,,,三条市,15204,3
新潟県,,,加茂市,15209,3
山梨県,,南巨摩郡,身延町,19365,3
山梨県,,北都留郡,丹波山村,19443,3
長野県,,下高井郡,木島平村,20562,3
長野県,,下水内郡,栄村,20602,3
